brown,brown.a.01
expect,expect.v.01
will,O
pass,pass.v.14
examination,examination.n.02
Many,O
are,O
interested,interested.a.01
in,O
culture,culture.n.02
bought,buy.v.01
new,new.a.05
dictionary,dictionary.n.01
did,O
defeat,defeat.v.01
'm,O
disgusted,disgusted.a.01
never,O
saw,see.v.01
insulin,insulin.n.01
was,O
making,make.v.02
fat,fat.a.01
want,want.v.01
divorce,divorce.n.01
want,want.v.01
bag,bag.n.01
Let,O
's,O
play,play.v.01
baseball,baseball.n.01
told,tell.v.03
everything,entity.n.01
will,O
make,make.v.16
note,note.n.01
in,O
notebook,notebook.n.01
have,O
not,O
eaten,eat.v.01
poisonous,poisonous.a.02
mushrooms,mushroom.n.01
imbecile,imbecile.n.01
has,have.v.02
sharp,sharp.a.02
teeth,tooth.n.01
forgot,forget.v.04
pen,pen.n.01
're,O
silly,silly.a.01
wonder,wonder.v.01
if,O
milk,milk.n.01
is,O
still,O
good,good.a.20
accept,accept.v.02
offer,O
am,O
intelligent,intelligent.a.01
's,O
humiliating,humiliating.a.01
quit,quit.v.02
loves,love.v.01
animals,animal.n.01
drank,drink.v.01
potion,potion.n.01
called,call.v.02
pirate,pirate.n.02
skipped,skip.v.02
breakfast,breakfast.n.01
're,O
disposable,disposable.a.02
eggs,egg.n.01
are,be.v.03
in,O
basket,basket.n.01
may,O
have,O
met,meet.v.01
somewhere,location.n.01
One,person.n.01
can,O
not,O
communicate,communicate.v.01
're,O
wise,wise.a.01
is,O
angry,angry.a.01
n't,O
is,be.v.02
's,O
stepson,stepson.n.01
put,put.v.01
old,old.a.02
computer,computer.n.01
in,O
cellar,cellar.n.01
submarine,submarine.n.01
hid,hide.v.02
in,O
depths,depth.n.01
of,O
ocean,ocean.n.01
's,be.v.01
very,very.r.01
talented,talented.a.01
man,man.n.01
can,O
prove,prove.v.02
to,O
was,O
dazzled,dazzle.v.02
by,O
beauty,beauty.n.01
monkey,monkey.n.01
climbed,climb_up.v.01
up,O
tree,tree.n.01
captured,capture.v.03
cicadas,cicada.n.01
with,O
net,net.n.02
'll,O
buy,buy.v.01
pencil,pencil.n.01
is,be.v.02
fashion,fashion.n.03
junkie,junkie.n.02
put,put.v.01
pistol,pistol.n.01
under,O
pillow,pillow.n.01
son,son.n.01
is,O
playing,play.v.05
in,O
rain,rain.n.01
was,O
unarmed,unarmed.a.01
tower,tower.n.01
is,O
fifteen,O
metres,metre.n.01
high,high.a.02
tires,tire.n.01
are,O
very,very.r.01
sticky,sticky.a.01
put,put_in.v.05
in,O
for,O
raise,raise.n.01
eagle,eagle.n.01
is,O
white,white.a.01
's,O
third,O
was,O
killed,kill.v.01
by,O
land~mine,land_mine.n.01
wo,O
n't,O
play,play.v.01
because,O
've,O
twisted,twist.v.10
ankle,ankle.n.01
hate,hate.v.01
birthday~parties,birthday_party.n.01
's,O
father,father.n.01
works,work.v.02
in,O
car~factory,car_factory.n.01
medicine,medicine.n.02
did,O
n't,O
help,help.v.02
at~all,O
wore,wear.v.01
Hawaiian,island.n.01
shirt,shirt.n.01
must,O
n't,O
throw,throw.v.03
litter,litter.n.02
in,O
street,street.n.01
Where,location.n.01
does,O
grandfather,grandfather.n.01
live,live.v.01
horses,horse.n.01
are,be.v.02
's,O
made,make.v.20
secretary,secretary.n.02
devoted,devote.v.01
life,life.n.03
to,O
company,company.n.01
is,O
working,work.v.02
in,O
field,field.n.04
of,O
biology,biology.n.01
might,O
be,O
busy,busy.a.01
grew,grow_up.v.01
up,O
in,O
small,small.a.01
town,town.n.01
deposited,deposit.v.02
money,money.n.01
in,O
bank,bank.n.02
has,have.v.04
boat,boat.n.01
Wolves,wolf.n.01
stalked,stalk.v.02
flock,flock.n.05
day,day.n.01
was,O
exhausting,exhausting.a.01
'm,O
buying,buy.v.01
fruit,fruit.n.01
and,O
chocolate,chocolate.n.02
walked,walk.v.01
into,O
's,O
room,room.n.01
Yesterday,O
was,O
ill,ill.a.01
dog,dog.n.01
is,O
red,red.a.01
marched,march.v.03
two,O
abreast,abreast.r.01
city,city.n.01
walls,wall.n.01
are,O
so,so.r.01
beautiful,beautiful.a.01
ordered,order.v.02
book,book.n.02
from,O
How,O
many,O
magazines,magazine.n.02
are,be.v.03
on,O
desk,desk.n.01
have,O
to,O
go,go.v.01
school,school.n.02
should,O
break,break_up.v.02
up,O
wanted,want.v.01
to,O
run,run_away.v.01
away,O
with,O
road,road.n.01
is,O
n't,O
very,very.r.01
safe,safe.a.01
one,person.n.01
expected,expect.v.01
to,O
win,win.v.01
was,O
very,very.r.01
selfish,selfish.a.01
walked,walk.v.01
along,O
river,river.n.01
is,O
suffering,suffer.v.02
from,O
cold,cold.n.01
suspected,suspect.v.01
father,father.n.01
was,O
dyslexic,dyslexic.a.01
'm,O
in~love,in_love.a.01
with,O
furnished,furnish.v.01
library,library.n.01
with,O
new,new.a.01
books,book.n.02
one,person.n.01
was,O
alive,alive.a.01
offered,offer.v.02
to,O
lend,lend.v.02
money,money.n.01
work,work.v.02
at,O
post~office,post_office.n.01
one,person.n.01
is,O
perfect,perfect.a.01
apple,apple.n.01
is,O
bruised,bruise.v.04
was,O
hiding,hide.v.01
behind,O
tree,tree.n.01
went,go.v.01
to,O
theater,theater.n.01
with,O
're,O
kidding,kid.v.02
young,young.a.01
boy,boy.n.01
helped,help.v.01
old,old.a.01
woman,woman.n.01
letdown,letdown.n.01
Lungs,lung.n.01
heart,heart.n.02
veins,vein.n.01
arteries,artery.n.01
and,O
capillaries,capillary.n.02
form,form.v.02
cardiovascular~system,cardiovascular_system.n.01
pessimism,pessimism.n.01
journeys,journey.n.01
begin,begin.v.01
with,O
first~step,first_step.n.01
burns,burn.v.04
month,month.n.01
is,be.v.01
welcomed,O
old,old.a.02
political,political.a.01
opponent,O
There,O
is,O
little,little.a.03
boy,boy.n.01
walking,walk.v.01
with,O
dog,dog.n.01
are,O
fresh,fresh.a.01
is,O
listening,listen.v.01
to,O
is,be.v.02
n't,O
father,father.n.01
Everything,entity.n.01
is,O
all~right,all_right.a.01
now,O
Try,try.v.01
hard,hard.r.01
hates,hate.v.01
is,O
all~right,all_right.a.01
now,O
Maybe,O
was,O
right,right.a.02
will,O
meet,meet.v.02
at,O
station,station.n.01
Is,O
retired,retired.a.01
favorite,favorite.a.02
German,country.n.02
band,band.n.02
is,be.v.02
news,news.n.04
spread,spread.v.06
fast,fast.r.01
restaurant,restaurant.n.01
is,O
less,O
expensive,expensive.a.01
're,O
taunting,taunt.v.01
policeman,policeman.n.01
was,O
off,off.a.01
duty,duty.n.02
's,O
cool,cool.a.06
're,O
older,old.a.01
than,O
sharpened,sharpen.v.01
knife,knife.n.01
're,O
terrible,terrible.a.02
underestimated,underestimate.v.03
disturbs,disturb.v.01
Oil,oil.v.01
bicycle,bicycle.n.01
'm,O
game,game.a.02
's,O
smiling,smile.v.01
disappeared,disappear.v.01
again,O
got,O
dressed,dress.v.01
love,love.v.01
hamburgers,hamburger.n.01
am,O
horrified,horrified.a.01
's,O
cleaning,clean_out.v.01
out,O
closet,closet.n.03
is,O
swimming,swim.v.01
in,O
river,river.n.01
stared,stare.v.01
at,O
suspiciously,suspiciously.r.01
am,O
not,O
like,like.a.01
Push,push.v.02
button,button.n.07
abhor,abhor.v.01
spiders,spider.n.01
arrived,arrive.v.01
at,O
concurred,concur.v.01
's,O
eleven,O
and,O
not,O
coming,come.v.02
likes,like.v.02
coffee,coffee.n.01
black,black.a.13
scored,score.v.01
three,O
goals,goal.n.04
's,O
vibrating,vibrate.v.01
looks,look.v.02
hesitant,hesitant.a.01
cared,care.v.02
for,O
sick,sick.a.01
mother,mother.n.01
darkens,darken.v.03
room,room.n.01
squeezed,squeeze.v.01
orange~juice,orange_juice.n.01
forgave,forgive.v.01
insulted,O
found,find.v.01
under,O
bed,bed.n.01
Grow,grow_up.v.01
up,O
will,O
help,help.v.01
is,O
bilingual,bilingual.a.01
dialed,dial.v.02
wrong,wrong.a.01
number,number.n.04
found,find.v.03
one,entity.n.01
should,O
organize,organize.v.01
search~party,search_party.n.01
Read,read.v.01
was,O
arrested,arrest.v.01
by,O
police,police.n.01
Give,give.v.03
book,book.n.02
to,O
'm,O
illiterate,illiterate.a.01
company,company.n.01
spends,spend.v.02
lot,O
of,O
money,money.n.01
on,O
advertising,advertising.n.02
demand,demand.v.01
refund,refund.n.01
can,O
not,O
swim,O
at~all,O
knew,know.v.01
something,entity.n.01
mashed,mash.v.03
potatoes,potato.n.01
with,O
large,large.a.01
fork,fork.n.01
soccer~ball,soccer_ball.n.01
is,O
rolling,roll.v.01
into,O
goal,goal.n.03
net,net.n.04
is,O
more,O
famous,famous.a.01
than,O
am,O
playing,play.v.07
committee,committee.n.01
is,O
composed,compose.v.01
of,O
three,O
men,man.n.01
and,O
seven,O
women,woman.n.01
lived,live.v.01
from,O
to,O
Senacal,female.n.02
resides,reside.v.01
in,O
Dinosaur,dinosaur.n.01
remains,remains.n.01
were,O
found,find.v.01
in,O
But,O
universe,universe.n.01
is,O
infinite,infinite.a.01
can,O
speak,speak.v.03
Japanese,japanese.n.02
is,be.v.01
famous,famous.a.01
artist,artist.n.01
borders,border.v.05
on,O
is,be.v.02
end,end.n.03
of,O
story,story.n.01
box,box.n.01
is,O
not,O
as,O
big,big.a.01
one,box.n.01
carpets,carpet.n.01
are,O
especially,especially.r.01
valuable,valuable.a.01
telephone,telephone.n.01
rang,ring.v.01
repeatedly,O
drank,drink.v.01
three,O
bottles,bottle.n.02
of,O
beer,beer.n.01
think,think.v.01
is,O
honest,honest.a.01
grew,grow.v.07
roses,rose.n.01
wind,wind.n.01
is,O
blowing,blow.v.02
needs,need.v.02
umbrella,umbrella.n.01
television,television.n.03
is,O
not,O
working,work.v.04
is,be.v.01
island,island.n.01
Do,O
speak,speak.v.03
have,O
drunk,drink.v.01
two,O
bottles,bottle.n.02
of,O
wine,wine.n.01
'm,be.v.01
foreigner,foreigner.n.01
stole,steal.v.01
money,money.n.01
from,O
was,O
furious,furious.a.02
'm,O
very,very.r.01
short,short.a.02
Where,location.n.01
did,O
see,see.v.01
boy,boy.n.01
Let,O
develop,develop.v.01
people,person.n.01
are,O
currently,O
employed,employ.v.02
at,O
industrial~park,industrial_park.n.01
Chinese,country.n.02
leadership,leadership.n.02
has,O
called,call_on.v.01
on,O
German,country.n.02
business,business.n.02
to,O
interfere,interfere.v.01
with,O
government,government.n.01
's,O
policy,policy.n.01
makes,make.v.06
refrigerators,refrigerator.n.01
year,time.n.08
did,O
sink,sink.v.04
Where,location.n.01
is,be.v.03
How,O
many,O
time~zones,time_zone.n.01
are,be.v.03
there,O
in,O
world,world.n.04
is,be.v.02
longest,long.a.02
river,river.n.01
in,O
world,world.n.04
married,marry.v.01
sister,sister.n.01
How,O
long,long.a.02
is,O
blade,blade.n.04
lies,lie.v.05
is,O
Japanese,country.n.02
works,work.v.04
was,O
swimming,swim.v.01
None,entity.n.01
of,O
children,child.n.01
are,O
sitting,sit.v.01
sharpened,sharpen.v.01
pencil,pencil.n.01
with,O
knife,knife.n.01
talked,talk.v.02
Loosen,loosen.v.01
is,O
playing,play.v.01
poker,poker.n.02
with,O
friends,friend.n.01
There,O
are,be.v.03
lot,O
of,O
breweries,brewery.n.01
in,O
is,be.v.08
philosopher,philosopher.n.01
n't,O
'll,O
meet,meet.v.02
at,O
station,station.n.01
nine~o'clock,O
love,love.v.01
books,book.n.01
is,be.v.08
not,O
nurse,nurse.n.01
but,O
doctor,doctor.n.01
Ah,O
'll,O
drive,drive.v.01
swam,swim.v.01
across,O
river,river.n.01
looked,look.v.02
like,O
was,O
healthy,healthy.a.01
and,O
laughed,laugh.v.01
love,love.v.03
was,O
not,O
lonely,lonely.a.01
'm,O
careful,careful.a.01
handed,hand.v.01
cigarette,cigarette.n.01
to,O
are,O
not,O
at~all,O
interested,interested.a.01
escaped,escape.v.01
author,author.n.01
suffers,suffer.v.02
from,O
writer's~block,writer's_block.n.01
from~time~to~time,from_time_to_time.r.01
secret,secret.n.01
leaked,leak_out.v.01
out,O
tripped,trip.v.01
on,O
something,entity.n.01
was,O
dazzled,dazzle.v.02
raises,raise.v.05
Arabian,arabian.n.02
horses,horse.n.01
owners,owner.n.01
appointed,appoint.v.02
manager,manager.n.01
's,O
survived,survive.v.01
like,like.v.02
kind,entity.n.01
of,O
apple,apple.n.01
sucks,suck.v.04
is,be.v.01
message,message.n.01
for,O
stopped,stop.v.02
reading,read.v.01
car,car.n.01
bumped,bump.v.01
tree,tree.n.01
lives,live.v.01
in,O
bus~driver,bus_driver.n.01
was,O
drunk,drunk.a.01
sleeping,sleep_with.v.01
with,O
suitcase,suitcase.n.01
was,be.v.02
n't,O
mine,O
poet,poet.n.01
wrote,write.v.01
many,O
poems,poem.n.01
Where,location.n.01
did,O
put,put.v.01
umbrella,umbrella.n.01
Hundreds,O
of,O
people,person.n.01
were,O
killed,kill.v.01
tiger~cub,tiger_cub.n.01
looked,look_like.v.01
like,O
large,large.a.01
kitten,kitten.n.01
joined,join.v.01
army,army.n.01
when,O
was,O
eighteen,O
consulted,consult.v.01
about,O
problem,problem.n.01
's,O
never,O
been,be.v.03
to,O
somebody,person.n.01
hear,hear.v.01
something,entity.n.01
comment,comment.n.01
is,O
crying,cry.v.02
too,O
printed,print.v.03
out,O
page,page.n.01
'm,O
fed,fed_up.a.01
up,O
with,O
winter,winter.n.01
want,want.v.01
spring,spring.n.01
right,O
now,O
marvelous,marvelous.a.01
family,family.n.01
examples,example.n.01
are,be.v.02
's,example.n.01
wrote,write_down.v.01
down,O
something,entity.n.01
in,O
notebook,notebook.n.01
'm,be.v.03
at,O
restaurant,restaurant.n.01
dress,dress.n.01
dug,dig.v.02
hole,hole.n.02
in,O
backyard,backyard.n.01
street,street.n.01
is,O
empty,empty.a.01
barred,bar.v.02
door,door.n.01
and,O
locked,lock.v.01
can,O
come,come.v.02
at,O
three,O
mere,O
spectators,spectator.n.01
watched,watch.v.03
game,game.n.02
father,father.n.01
is,O
like,like.a.01
friend,friend.n.01
to,O
father,father.n.01
fixed,fix.v.01
broken,broken.a.01
chair,chair.n.01
leave,leave.v.01
tomorrow,O
was,O
meeting,meet.v.02
at,O
six,O
're,O
wounded,wound.v.01
's,O
as,O
pretty,pretty.a.01
sister,sister.n.01
was,O
also,O
kind,kind.a.01
to,O
animals,animal.n.01
are,be.v.02
sister,sister.n.01
's,O
magazines,magazine.n.01
is,be.v.02
acquaintance,acquaintance.n.03
of,O
hers,female.n.02
Wait,wait.v.01
Is,O
tapwater,tap_water.n.01
drinkable,drinkable.a.01
in,O
remember,remember.v.01
'm,O
tired,tired_of.a.01
of,O
backgammon,backgammon.n.01
is,O
liked,like.v.03
by,O
everyone,person.n.01
ran,run_out.v.06
out,O
of,O
money,money.n.01
's,be.v.02
favorite,favorite.a.02
painter,painter.n.01
notice,notice.v.02
something,entity.n.01
suspicious,suspicious.a.01
have,O
to,O
button,button.v.02
jacket,jacket.n.01
is,O
awesome,awesome.a.01
lot,O
of,O
students,student.n.01
around,O
world,world.n.04
are,O
studying,study.v.04
voyage,voyage.n.01
lasted,last.v.01
months,month.n.02
made,make.v.06
chair,chair.n.01
've,O
suddenly,suddenly.r.01
started,start.v.01
to,O
gain,gain.v.09
weight,weight.n.01
Many,O
people,person.n.01
were,O
arrested,arrest.v.01
took,take.v.18
morning~after~pill,morning-after_pill.n.01
How,O
much,O
is,be.v.13
camera,camera.n.01
Can,O
give,give.v.03
kilo,kilo.n.01
of,O
plums,plum.n.02
died,die.v.01
in,O
Something,entity.n.01
fishy,fishy.a.02
is,O
going,go_on.v.02
on,O
will,O
be,O
jealous,jealous.a.01
received,receive.v.01
telegram,telegram.n.01
from,O
do,O
n't,O
know,know.v.01
how,manner.n.01
did,do.v.02
's,O
cellphone,cellphone.n.01
rang,ring.v.01
and,O
answered,answer.v.02
'm,O
not,O
scared,scared.a.01
of,O
anymore,O
stopped,stop.v.01
debts,debt.n.02
amount,amount.v.02
to,O
Three,O
suspects,suspect.n.01
have,O
been,O
arrested,arrest.v.01
bugs,bug.n.02
were,O
fixed,fix.v.01
There,O
are,be.v.03
flying,fly.v.01
birds,bird.n.01
in,O
sky,O
am,O
baffled,baffled.a.01
's,O
obscene,obscene.a.01
is,O
smashed,smashed.a.01
'm,be.v.02
not,O
little~sister,little_sister.n.01
'm,O
still,O
little,O
hungry,hungry.a.01
is,be.v.01
kind,entity.n.01
of,O
watermelon,watermelon.n.02
ball,ball.n.01
hit,hit.v.02
crossbar,crossbar.n.02
is,be.v.02
first~name,first_name.n.01
Let,O
's,O
climb,climb.v.01
to,O
top,top.n.03
of,O
mountain,mountain.n.01
parents,parent.n.01
love,love.v.01
sun,sun.n.01
is,O
shining,shine.v.02
in,O
face,face.n.01
am,O
peeling,peel.v.01
celery,celery.n.02
and,O
potatoes,potato.n.01
must,O
be,O
very,very.r.01
proud,proud.a.01
When,O
was,O
boy,boy.n.01
addicted,addicted.a.01
to,O
reading,read.v.01
detective~stories,detective_story.n.01
is,O
stirring,stir.v.01
coffee,coffee.n.01
is,O
very,very.r.01
young,young.a.01
man,man.n.01
is,O
filling,fill.v.01
container,container.n.01
made,make.v.06
of,O
plastic,plastic.n.01
man,man.n.01
is,O
shooting,shoot.v.01
with,O
bow,bow.n.04
's,O
cleverer,clever.a.02
than,O
Something,entity.n.01
is,O
happening,happen.v.01
in,O
asked,ask.v.01
whether,O
like,like.v.02
math,math.n.01
is,O
not,O
as,O
tall,tall.a.01
Everyone,person.n.01
in,O
class,class.n.02
climbed,climb.v.01
hill,hill.n.01
assassination,assassination.n.02
of,O
took,take_place.v.01
place,O
on,O
at,O
end,O
rally,rally.n.01
in,O
support,support.n.02
agreements,agreement.n.01
assassination,assassination.n.02
of,O
took,take_place.v.01
place,O
in,O
Texas~Instruments,O
produces,produce.v.02
mobile~phones,mobile_phone.n.01
Look,look_out.v.01
out,O
girl,girl.n.01
was,O
afraid,afraid.a.01
of,O
own,O
shadow,shadow.n.01
All,O
students,student.n.01
study,study.v.04
teaches,teach.v.01
is,O
now,O
on,on.a.01
duty,duty.n.02
like,like.v.02
languages,language.n.01
school,school.n.01
is,O
years,year.n.01
old,old.a.02
is,be.v.08
scientist,scientist.n.01
has,O
written,write.v.01
number,O
of,O
exciting,exciting.a.02
detective~stories,detective_story.n.01
'll,O
attend,attend.v.01
Summer,summer.n.01
has,O
ended,end.v.01
computer,computer.n.01
has,O
frozen,freeze.v.01
flag,flag.n.01
is,O
very,very.r.01
pretty,pretty.a.01
building,building.n.01
is,O
one~hundred,O
meters,meter.n.01
high,high.a.01
wounded,wounded.n.01
were,O
transported,transport.v.01
with,O
ambulance,ambulance.n.01
massaged,massage.v.01
shoulders,shoulder.n.01
have,have.v.04
truck,truck.n.01
is,O
taller,tall.a.01
than,O
weather,weather.n.01
room,room.n.01
In,O
part,part.n.05
of,O
did,O
oilpipe,oil_pipeline.n.01
burst,burst.v.01
There,O
is,be.v.03
crumb,crumb.n.03
in,O
beard,beard.n.01
asked,ask.v.01
if,O
was,be.v.06
swallowed,swallow.v.03
card,card.n.02
was,O
sent,send.v.01
by,O
company,company.n.01
to,O
've,O
never,O
been,O
skiing,ski.v.01
has,O
been,O
stabbed,stab.v.01
several,O
times,time.n.01
inherited,inherit.v.01
old,old.a.02
wooden,wooden.a.01
chest,chest.n.02
retired,retire.v.01
many,O
years,year.n.01
ago,O
's,O
cheap,cheap.a.01
is,O
n't,O
's,O
outdated,outdated.a.01
hare,hare.n.01
raced,race.v.02
with,O
tortoise,tortoise.n.01
took,take.v.02
several,O
hours,hour.n.01
to,O
draw,draw.v.06
Is,O
hexane,hexane.n.01
toxic,toxic.a.01
Let,O
's,O
go,go.v.01
to,O
theater,theater.n.01
together,O
submarines,submarine.n.01
sank,sink.v.02
lot,O
of,O
ships,ship.n.01
is,O
addicted,addicted.a.01
to,O
heroin,heroin.n.01
dreams,dream.v.01
body,person.n.01
in,O
speaks,speak.v.03
regret,regret.v.01
decision,decision.n.02
've,O
seen,see.v.01
flying~saucer,flying_saucer.n.01
drove,drive.v.01
car,car.n.01
off,O
cliff,cliff.n.01
threw,throw.v.01
snowball,snowball.n.04
at,O
called,call.v.03
are,be.v.02
pens,pen.n.01
one,person.n.01
except,O
was,O
wearing,wear.v.02
tie,tie.n.01
Somebody,person.n.01
called,call.v.03
sold,sell.v.01
house,house.n.01
hanged,hang.v.03
in,O
jail,jail.n.01
has,O
taught,teach.v.01
for,O
thirty,O
years,year.n.01
'm,O
waiting,wait.v.01
for,O
to,O
climb,climb.v.02
into,O
car,car.n.01
How,O
much,O
does,O
daughter,daughter.n.01
weigh,weigh.v.01
is,O
called,call.v.01
in,O
filled,fill_out.v.01
out,O
application~form,application_form.n.01
was,O
trampled,trample.v.02
by,O
wild,wild.a.02
hippopotamus,hippopotamus.n.01
is,O
served,serve.v.06
at,O
seven~a.m.,O
Over,O
three~thousand,O
people,person.n.01
attended,attend.v.01
concert,concert.n.01
two,O
policemen,policeman.n.01
were,O
exhausted,exhausted.a.01
too,O
tried,try.v.01
house,house.n.01
is,be.v.03
near,O
subway~station,subway_station.n.01
am,O
dumbfounded,dumbfounded.a.01
cleaned,clean.v.01
toilet,toilet.n.02
contradicted,contradict.v.01
bicycle,bicycle.n.01
is,O
blue,blue.a.01
have,O
read,read.v.01
book,book.n.01
several,O
times,time.n.01
was,O
livid,livid.a.03
older,older.a.01
man,man.n.01
was,O
sitting,sit.v.01
on,O
bench,bench.n.01
novel,novel.n.01
was,O
written,write.v.01
by,O
Nobody,person.n.01
called,call.v.03
cheated,cheat.v.03
bowed,bow.v.03
to,O
works,work.v.01
police,police.n.01
arrested,arrest.v.01
suspect,suspect.n.01
yesterday,day.n.03
hailstones,hailstone.n.01
were,O
as,O
big,big.a.01
tennis~balls,tennis_ball.n.01
Forgive,forgive.v.01
There,O
are,be.v.03
many,O
fish,fish.n.01
in,O
lake,lake.n.01
pulled,pull_down.v.02
down,O
blinds,blind.n.03
chopped,chop_down.v.01
down,O
tree,tree.n.01
with,O
ax,ax.n.01
Maybe,O
was,O
hiding,hide.v.01
something,entity.n.01
hugged,hug.v.01
There,O
's,be.v.03
hidden,hidden.a.02
door,door.n.01
in,O
library,library.n.01
have,O
n't,O
touched,touch.v.01
anything,entity.n.01
works,work.v.02
at,O
supermarket,supermarket.n.01
composed,compose.v.03
sonnet,sonnet.n.01
surname,surname.n.01
is,be.v.06
Ling,O
stole,steal.v.01
money,money.n.01
did,O
n't,O
browser,browser.n.02
are,O
using,use.v.01
rope,rope.n.01
broke,break.v.02
under,O
strain,strain.n.01
How,O
blue,blue.a.01
sky,sky.n.01
is,O
knocked,knock.v.02
on,O
door,door.n.01
rinsed,rinse.v.01
dishes,dish.n.01
and,O
have,O
flown,fly.v.01
from,O
to,O
caught,catch.v.08
fish,fish.n.01
started,start.v.01
to,O
walk,walk_away.v.01
away,O
but,O
stopped,stop.v.05
has,O
been,be.v.03
to,O
three,O
times,time.n.01
intervened,intervene.v.01
substituted,substitute.v.02
for,O
father,father.n.01
is,be.v.01
city,city.n.01
in,O
Basque~Country,country.n.02
All,entity.n.01
boys,boy.n.01
were,O
yelling,yell.v.01
am,O
proud,proud.a.01
of,O
fisherman,fisherman.n.01
's,O
story,story.n.01
is,O
fishy,fishy.a.02
news,news.n.01
got,get_around.v.01
around,O
is,O
stronger,strong.a.01
than,O
'll,O
wait,wait.v.01
for,O
in,O
lobby,lobby.n.01
's,O
sitting,sit.v.01
in,O
waiting~room,waiting_room.n.01
Keeping,keep.v.20
car,car.n.01
is,be.v.01
considerable,considerable.a.01
expense,expense.n.01
is,O
not,O
funny,funny.a.01
's,O
hair,hair.n.01
is,O
chestnut~brown,chestnut.a.01
looked,look_down_on.v.01
down,O
on,O
as,O
coward,coward.n.01
's,O
true,true.a.01
vote,vote.n.02
took,take_place.v.01
place,O
on,O
sixteenth,O
dropped,drop.v.01
cup,cup.n.01
and,O
broke,break.v.05
gold,gold.a.01
ring,ring.n.08
belonged,belong.v.01
to,O
mother,mother.n.01
and,O
went,O
hunting,hunt.v.06
for,O
tree,tree.n.01
is,O
tall,tall.a.01
Everybody,person.n.01
wants,want.v.01
something,entity.n.01
extinguished,extinguish.v.02
fire,fire.n.01
took,take.v.02
five,O
hours,hour.n.01
to,O
make,make.v.06
kennel,kennel.n.01
room,room.n.01
is,O
extremely,extremely.r.02
small,small.a.01
river,river.n.01
is,O
also,O
polluted,polluted.a.01
and,O
picked,pick_up.v.03
up,O
hitchhiker,hitchhiker.n.01
suffered,suffer.v.02
from,O
collapsed,collapse.v.03
lung,lung.n.01
's,O
ironic,ironic.a.01
lowered,lower.v.01
gaze,gaze.n.01
's,O
bit,O
older,old.a.01
than,O
thought,think.v.01
had,O
stopped,stop.v.02
dating,date.v.01
How,O
's,O
love,love.v.01
pizza,pizza.n.01
still,O
in~love,in_love.a.01
with,O
There,O
are,be.v.03
many,O
earthquakes,earthquake.n.01
in,O
is,O
very,very.r.01
sociable,sociable.a.01
ice,ice.n.02
is,O
two,O
inches,inch.n.01
thick,thick.a.01
have,O
to,O
turn,turn_in.v.02
in,O
report,report.n.01
today,O
got,get.v.09
had,O
wallet,wallet.n.01
stolen,steal.v.01
is,be.v.02
's,O
ex,ex.n.01
did,O
get,get.v.01
flowers,flower.n.01
from,O
will,O
take,take.v.02
minutes,minute.n.01
to,O
get,get.v.05
station,station.n.01
by,O
taxi,taxi.n.01
father,father.n.01
died,die.v.01
five,O
years,year.n.01
ago,O
's,O
illiterate,illiterate.a.01
lighted,light.v.04
cigarette,cigarette.n.01
've,O
been,be.v.03
to,O
three,O
times,time.n.01
wound,wound.n.01
discharged,discharge.v.02
pus,pus.n.02
aunt,aunt.n.01
's,O
glasses,glasses.n.01
are,O
fashionable,fashionable.a.01
do,do.v.02
work,work.n.03
for,O
from~time~to~time,from_time_to_time.r.01
is,O
majoring,major.v.01
in,O
architecture,architecture.n.02
child,child.n.01
is,O
wearing,wear.v.01
yellow,yellow.a.01
jacket,jacket.n.01
and,O
jumping,jump.v.01
on,O
rock,rock.n.01
person,person.n.01
is,O
buttering,butter.v.01
tray,tray.n.01
Someone,person.n.01
is,O
feeding,feed.v.02
animal,animal.n.01
whisky,whisky.n.01
is,O
very,very.r.01
strong,strong.a.08
died,die.v.01
from,O
tuberculosis,tuberculosis.n.01
could,O
do,do.v.02
something,entity.n.01
big,big.a.02
Wilkins,male.n.02
arrived,arrive.v.01
in,O
Dogs,dog.n.01
are,O
used,use.v.01
in,O
law~enforcement,law_enforcement.n.01
authored,author.v.01
many,O
biographies,biography.n.01
was,O
re-elected,reelect.v.01
in,O
's,O
remains,remain.v.01
undiscovered,undiscovered.a.01
was,be.v.02
first,O
Chinese,country.n.02
was,O
born,bear.v.02
in,O
'm,O
not,O
convinced,convinced.a.01
at~all,O
took,take.v.02
three,O
days,day.n.01
to,O
clean,clean.v.01
room,room.n.01
How,O
long,long.a.02
is,O
bridge,bridge.n.01
How,O
deep,deep.a.03
is,O
lake,lake.n.01
watch,watch.n.01
is,O
very,very.r.01
accurate,accurate.a.01
do,O
n't,O
work,work.v.01
on,O
am,O
interested,interested.a.01
in,O
swimming,swim.v.01
have,have.v.04
few,O
books,book.n.02
wanted,want.v.01
to,O
surprise,surprise.v.01
steps,step.n.09
were,O
clearly,clearly.r.04
marked,mark.v.05
in,O
snow,snow.n.02
poll,poll.n.01
was,O
taken,take.v.01
yesterday,day.n.03
won,win.v.01
race,race.n.01
again,O
was,O
elected,elect.v.01
president,president.n.03
sat,sit.v.01
in,O
shade,shade.n.01
of,O
big,big.a.01
tree,tree.n.01
shed,shed.v.02
bitter,bitter.a.04
tears,tear.n.01
'm,O
patient,patient.a.01
'm,O
little,O
taller,tall.a.01
